from,to,date;forward,date;backwards
Odesa,Paris,07/12/2013,02/01/2014;;
Odesa,Helsinki,20/06/2014,31/08/2014;;
Odesa,Stockholm,28/12/2014,21/01/2015;;
Odesa,Luxembourg,02/05/2015,27/07/2015;;
Paris,Barcelona,21/06/2015,24/06/2015;;
Paris,Copenhagen,06/07/2015,12/07/2015;;
Nice,Rome,04/03/2017,07/03/2017;;
Nice,Berlin,28/06/2017,04/07/2017;;
Nice,Amsterdam,29/08/2017,03/09/2017;;
Nice,Geneva,11/11/2017,13/11/2017;;
Nice,Odesa,05/06/2018,10/06/2018;;
Nice,Tokyo,20/10/2018,30/10/2018;;
Nice,Amsterdam,04/04/2018,06/04/2018;;
Nice,Brussels,11/04/2018,14/04/2018;;
Nice,Stockholm,30/05/2019,01/06/2019;;
Nice,Budapest,11/08/2019,15/08/2019;;
Nice,Lisbon,02/11/2019,10/11/2019;;
Nice,Vienna,13/02/2020,16/02/2020;;
Nice,Krakow,20/02/2020,23/02/2020;;
